Date,City,State,Temperature_Max (°C),Temperature_Min (°C),Temperature_Avg (°C),Humidity (%),Rainfall (mm),Wind_Speed (km/h),AQI,AQI_Category,Pressure (hPa),Cloud_Cover (%),Year,Month,Day,Day_of_Week,Day_Name,Temperature_Range (°C),Humidity_Temperature_Index
2024-01-01,Mumbai,Maharashtra,32.5,18.0,25.2,77.6,0.0,3.3,259,Poor,1020.3,62.1,2024,1,1,0,Monday,14.5,1955.5199999999998
2024-01-01,Delhi,Delhi,25.4,10.7,18.1,84.1,0.0,9.0,130,Moderate,1008.4,46.0,2024,1,1,0,Monday,14.7,1522.21
2024-01-01,Bengaluru,Karnataka,37.2,30.8,34.0,49.0,3.7,6.6,54,Satisfactory,1008.0,61.3,2024,1,1,0,Monday,6.400000000000002,1666.0
2024-01-01,Chennai,Tamil Nadu,37.2,30.4,33.8,34.2,9.5,9.0,176,Moderate,993.4,70.0,2024,1,1,0,Monday,6.800000000000004,1155.96
2024-01-01,Kolkata,West Bengal,27.4,17.5,22.5,32.2,9.1,9.2,97,Satisfactory,1008.2,56.9,2024,1,1,0,Monday,9.899999999999999,724.5000000000001
2024-01-01,Hyderabad,Telangana,44.4,31.6,38.0,91.1,51.9,4.0,140,Moderate,996.9,9.3,2024,1,1,0,Monday,12.799999999999997,3461.7999999999997
2024-01-01,Ahmedabad,Gujarat,32.8,25.1,28.9,83.9,0.0,5.2,345,Very Poor,1018.1,12.1,2024,1,1,0,Monday,7.699999999999996,2424.71
2024-01-01,Jaipur,Rajasthan,40.4,33.5,37.0,30.4,8.2,19.7,75,Satisfactory,992.6,39.1,2024,1,1,0,Monday,6.899999999999999,1124.8
2024-01-01,Lucknow,Uttar Pradesh,42.3,31.0,36.6,51.5,0.0,18.8,186,Moderate,1012.3,89.3,2024,1,1,0,Monday,11.299999999999997,1884.9
2024-01-01,Bhopal,Madhya Pradesh,27.4,15.3,21.3,79.5,0.0,14.0,73,Satisfactory,1005.0,7.4,2024,1,1,0,Monday,12.099999999999998,1693.3500000000001
2024-01-02,Mumbai,Maharashtra,25.6,14.3,19.9,50.4,0.0,11.4,63,Satisfactory,1016.4,26.7,2024,1,2,1,Tuesday,11.3,1002.9599999999999
2024-01-02,Delhi,Delhi,30.8,24.2,27.5,90.4,54.3,20.5,207,Poor,996.5,89.8,2024,1,2,1,Tuesday,6.600000000000001,2486.0
2024-01-02,Bengaluru,Karnataka,41.1,27.2,34.2,50.7,0.0,20.8,198,Moderate,1020.1,5.7,2024,1,2,1,Tuesday,13.900000000000002,1733.9400000000003
2024-01-02,Chennai,Tamil Nadu,33.3,26.1,29.7,37.8,0.0,13.9,341,Very Poor,1014.6,39.5,2024,1,2,1,Tuesday,7.199999999999996,1122.6599999999999
2024-01-02,Kolkata,West Bengal,44.2,36.7,40.5,62.3,0.0,16.0,126,Moderate,1007.6,9.9,2024,1,2,1,Tuesday,7.5,2523.15
2024-01-02,Hyderabad,Telangana,43.2,35.8,39.5,39.4,0.0,17.5,265,Poor,1016.7,27.6,2024,1,2,1,Tuesday,7.400000000000006,1556.3
2024-01-02,Ahmedabad,Gujarat,32.4,21.0,26.7,71.2,5.4,9.4,223,Poor,996.5,8.9,2024,1,2,1,Tuesday,11.399999999999999,1901.04
2024-01-02,Jaipur,Rajasthan,38.6,33.4,36.0,63.3,0.0,17.9,82,Satisfactory,1003.5,94.0,2024,1,2,1,Tuesday,5.200000000000003,2278.7999999999997
2024-01-02,Lucknow,Uttar Pradesh,31.8,25.7,28.8,90.1,8.8,20.8,114,Moderate,1009.4,55.3,2024,1,2,1,Tuesday,6.100000000000001,2594.88
2024-01-02,Bhopal,Madhya Pradesh,26.9,12.9,19.9,88.5,0.0,18.7,281,Poor,1021.4,89.3,2024,1,2,1,Tuesday,13.999999999999998,1761.1499999999999
2024-01-03,Mumbai,Maharashtra,37.8,32.0,34.9,40.5,0.0,4.3,89,Satisfactory,1013.2,5.5,2024,1,3,2,Wednesday,5.799999999999997,1413.45
2024-01-03,Delhi,Delhi,36.0,24.1,30.0,72.4,0.0,9.5,303,Very Poor,1016.1,66.7,2024,1,3,2,Wednesday,11.899999999999999,2172.0
2024-01-03,Bengaluru,Karnataka,38.2,27.5,32.8,36.1,0.0,24.4,235,Poor,1003.8,89.7,2024,1,3,2,Wednesday,10.700000000000003,1184.08
2024-01-03,Chennai,Tamil Nadu,40.9,30.9,35.9,67.5,5.0,8.5,94,Satisfactory,990.9,66.3,2024,1,3,2,Wednesday,10.0,2423.25
2024-01-03,Kolkata,West Bengal,43.8,29.3,36.5,89.5,11.1,11.8,304,Very Poor,1023.8,96.5,2024,1,3,2,Wednesday,14.499999999999996,3266.75
